id;subscription_start;subscription_end
3;2016-12-21;
6;2016-12-02;
9;2016-12-22;2017-03-31
12;2016-12-14;2017-03-29
13;2016-12-16;
15;2016-12-10;2017-01-16
16;2016-12-12;
19;2016-12-17;
23;2016-12-19;2017-01-25
25;2016-12-18;
28;2016-12-20;2017-01-28
31;2016-12-13;2017-01-16
32;2016-12-11;
33;2016-12-21;2017-02-12
36;2016-12-23;
41;2016-12-04;
43;2016-12-13;
45;2016-12-09;2017-02-08
48;2016-12-31;
58;2016-12-08;2017-03-06
60;2016-12-07;2017-03-12
63;2016-12-15;2017-02-24
68;2016-12-04;2017-02-12
70;2016-12-23;
75;2016-12-02;
77;2016-12-19;2017-03-20
80;2016-12-12;
84;2016-12-24;
94;2016-12-24;
96;2016-12-24;
99;2016-12-05;2017-03-08
103;2016-12-11;
108;2016-12-15;2017-03-21
111;2016-12-09;
113;2016-12-08;2017-03-16
115;2016-12-04;2017-01-20
118;2016-12-05;2017-01-29
123;2016-12-23;
124;2016-12-08;
130;2016-12-12;2017-02-06
137;2016-12-20;
139;2016-12-02;2017-02-10
140;2016-12-28;2017-03-24
141;2016-12-31;2017-03-18
147;2016-12-21;2017-03-03
150;2016-12-22;2017-02-26
152;2016-12-19;
154;2016-12-05;2017-01-05
158;2016-12-07;
162;2016-12-21;2017-03-08
166;2016-12-21;
171;2016-12-20;
172;2016-12-27;
174;2016-12-28;
177;2016-12-19;
178;2016-12-12;
179;2016-12-26;2017-02-24
182;2016-12-15;
185;2016-12-11;2017-01-16
190;2016-12-08;2017-01-12
192;2016-12-07;2017-02-18
193;2016-12-16;2017-02-07
209;2016-12-27;
213;2016-12-08;
215;2016-12-19;2017-01-29
219;2016-12-15;2017-02-12
221;2016-12-15;
222;2016-12-02;2017-01-04
224;2016-12-28;
228;2016-12-12;2017-01-12
229;2016-12-04;
234;2016-12-31;
235;2016-12-11;
236;2016-12-09;
242;2016-12-18;
243;2016-12-13;
244;2016-12-08;2017-02-05
245;2016-12-12;
252;2016-12-19;2017-02-11
262;2016-12-09;2017-03-28
264;2016-12-05;2017-02-02
267;2016-12-05;2017-01-12
269;2016-12-28;2017-03-24
271;2016-12-30;
281;2016-12-07;
286;2016-12-24;2017-03-13
287;2016-12-21;
289;2016-12-08;2017-03-30
290;2016-12-30;2017-03-25
298;2016-12-29;
299;2016-12-09;
300;2016-12-10;
302;2016-12-23;
307;2016-12-07;
312;2016-12-03;
313;2016-12-21;
315;2016-12-08;
326;2016-12-26;
327;2016-12-28;
329;2016-12-21;2017-03-03
334;2016-12-05;2017-03-19
347;2016-12-18;
350;2016-12-13;2017-02-08
351;2016-12-31;
353;2016-12-07;2017-02-15
356;2016-12-21;
358;2016-12-19;
359;2016-12-16;
366;2016-12-11;
371;2016-12-01;2017-01-01
378;2016-12-03;2017-01-16
379;2016-12-29;
382;2016-12-25;
385;2016-12-08;2017-03-04
389;2016-12-10;2017-02-24
395;2016-12-26;2017-03-20
396;2016-12-09;2017-01-23
397;2016-12-10;2017-03-01
403;2016-12-06;2017-01-13
405;2016-12-24;
406;2016-12-12;
418;2016-12-21;
419;2016-12-15;2017-02-19
423;2016-12-03;
424;2016-12-18;2017-02-20
429;2016-12-09;
430;2016-12-12;2017-01-29
433;2016-12-20;2017-03-15
